                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.748,                 4.9706,                 1.7697,                      0,                      0,                      0,                      0,                 2.5354,                 5.7685,                 2.4342,                      0,                      0,                      0
                      2,                 2.0036,                  5.016,                 1.9778,                      0,                      0,                      0,                      0,                 2.5334,                 5.7624,                 2.4211,             1.1782e-06,             1.1782e-06,             1.1782e-06
                      3,                 1.7986,                 4.9895,                 2.0656,                      0,                      0,                      0,                      0,                 2.5003,                 5.7517,                 2.4074,             2.3329e-06,             2.3329e-06,             2.3329e-06
                      4,                 1.8878,                 4.9323,                 1.8844,                      0,                      0,                      0,                      0,                 2.4779,                 5.7477,                 2.3946,              3.464e-06,              3.464e-06,              3.464e-06
                      5,                 1.8717,                 5.1542,                 1.7153,                      0,                      0,                      0,                      0,                 2.4602,                 5.7433,                 2.3817,             4.5715e-06,             4.5715e-06,             4.5715e-06
                      6,                 1.8989,                 5.0507,                 1.9107,                      0,                      0,                      0,                      0,                 2.4245,                  5.732,                 2.3644,             5.6555e-06,             5.6555e-06,             5.6555e-06
                      7,                 1.9875,                 5.1047,                 2.0099,                      0,                      0,                      0,                      0,                 2.4026,                 5.7197,                 2.3407,             6.7159e-06,             6.7159e-06,             6.7159e-06
                      8,                 2.0599,                 5.2586,                 1.9747,                      0,                      0,                      0,                      0,                 2.3867,                 5.7115,                 2.3181,             7.7527e-06,             7.7527e-06,             7.7527e-06
                      9,                 1.9353,                 5.0203,                 1.8047,                      0,                      0,                      0,                      0,                   2.37,                 5.7122,                 2.2999,              8.766e-06,              8.766e-06,              8.766e-06
                     10,                 1.5972,                 4.8264,                 1.8182,                      0,                      0,                      0,                      0,                 2.3604,                  5.694,                   2.29,             9.7557e-06,             9.7557e-06,             9.7557e-06
                     11,                 1.7916,                 5.0805,                   1.73,                      0,                      0,                      0,                      0,                 2.3609,                 5.6901,                 2.2721,             1.0722e-05,             1.0722e-05,             1.0722e-05
                     12,                 1.6092,                 5.0617,                 1.8201,                      0,                      0,                      0,                      0,                 2.3375,                 5.6705,                 2.2553,             1.1664e-05,             1.1664e-05,             1.1664e-05
                     13,                 1.6142,                 4.9666,                 1.7278,                      0,                      0,                      0,                      0,                 2.3342,                 5.6725,                 2.2682,             1.2584e-05,             1.2584e-05,             1.2584e-05
                     14,                 1.5978,                  4.909,                 1.7376,                      0,                      0,                      0,                      0,                 2.3347,                 5.6685,                 2.2365,             1.3479e-05,             1.3479e-05,             1.3479e-05
                     15,                 1.7127,                 5.0344,                 1.7497,                      0,                      0,                      0,                      0,                 2.3607,                 5.6853,                 2.2622,             1.4351e-05,             1.4351e-05,             1.4351e-05
                     16,                 1.8305,                 5.0109,                 1.8104,                      0,                      0,                      0,                      0,                 2.3269,                 5.6741,                 2.2228,             1.5199e-05,             1.5199e-05,             1.5199e-05
