                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2119,                 4.6003,                 1.4688,                      0,                      0,                      0,                      0,                 2.0607,                  5.464,                 1.8373,                      0,                      0,                      0
                      2,                 1.1236,                 4.6457,                 1.2141,                      0,                      0,                      0,                      0,                  2.052,                 5.4718,                 1.8312,             1.1782e-06,             1.1782e-06,             1.1782e-06
                      3,                 1.3042,                 4.7412,                 1.3894,                      0,                      0,                      0,                      0,                 2.0309,                 5.4666,                 1.8235,             2.3329e-06,             2.3329e-06,             2.3329e-06
                      4,                 1.2545,                 4.6786,                 1.3307,                      0,                      0,                      0,                      0,                 2.0192,                 5.4752,                 1.8146,              3.464e-06,              3.464e-06,              3.464e-06
                      5,                 1.0284,                 4.4262,                 1.2668,                      0,                      0,                      0,                      0,                  2.001,                 5.4791,                 1.7986,             4.5715e-06,             4.5715e-06,             4.5715e-06
                      6,                0.95698,                 4.4283,                 1.2164,                      0,                      0,                      0,                      0,                 2.0029,                 5.4823,                 1.7997,             5.6555e-06,             5.6555e-06,             5.6555e-06
                      7,                 1.0111,                 4.4789,                 1.3879,                      0,                      0,                      0,                      0,                 1.9984,                 5.4928,                  1.793,             6.7159e-06,             6.7159e-06,             6.7159e-06
                      8,                0.98446,                 4.4132,                 1.2312,                      0,                      0,                      0,                      0,                 1.9845,                 5.4909,                 1.7868,             7.7527e-06,             7.7527e-06,             7.7527e-06
                      9,                 1.2256,                 4.7097,                 1.3687,                      0,                      0,                      0,                      0,                 1.9739,                 5.5066,                 1.7748,              8.766e-06,              8.766e-06,              8.766e-06
                     10,                0.96919,                 4.4309,                 1.2412,                      0,                      0,                      0,                      0,                 1.9658,                 5.5105,                 1.7682,             9.7557e-06,             9.7557e-06,             9.7557e-06
                     11,                 1.1921,                 4.5127,                 1.5604,                      0,                      0,                      0,                      0,                 1.9603,                 5.5216,                 1.7683,             1.0722e-05,             1.0722e-05,             1.0722e-05
                     12,                0.93173,                 4.5564,                 1.1759,                      0,                      0,                      0,                      0,                 1.9728,                 5.5194,                 1.7781,             1.1664e-05,             1.1664e-05,             1.1664e-05
                     13,                 1.0376,                 4.3031,                 1.3765,                      0,                      0,                      0,                      0,                 1.9799,                 5.5101,                 1.7779,             1.2584e-05,             1.2584e-05,             1.2584e-05
                     14,                 1.0407,                 4.4253,                 1.2812,                      0,                      0,                      0,                      0,                 1.9846,                 5.5099,                  1.788,             1.3479e-05,             1.3479e-05,             1.3479e-05
                     15,                0.91177,                 4.2821,                  1.256,                      0,                      0,                      0,                      0,                 1.9948,                 5.5054,                 1.7969,             1.4351e-05,             1.4351e-05,             1.4351e-05
                     16,                 1.0753,                 4.2847,                 1.2502,                      0,                      0,                      0,                      0,                 2.0054,                  5.505,                 1.8091,             1.5199e-05,             1.5199e-05,             1.5199e-05
                     17,                 1.0181,                 4.2912,                 1.1741,                      0,                      0,                      0,                      0,                 2.0215,                 5.4786,                 1.8279,             1.6024e-05,             1.6024e-05,             1.6024e-05
                     18,                0.89922,                 4.2488,                 1.2145,                      0,                      0,                      0,                      0,                 2.0215,                 5.4786,                 1.8279,             1.6825e-05,             1.6825e-05,             1.6825e-05
                     19,                0.94181,                 4.2852,                 1.2268,                      0,                      0,                      0,                      0,                 2.0314,                  5.474,                 1.8325,             1.7603e-05,             1.7603e-05,             1.7603e-05
                     20,                0.99863,                 4.3687,                 1.2654,                      0,                      0,                      0,                      0,                 2.0314,                  5.474,                 1.8325,             1.8357e-05,             1.8357e-05,             1.8357e-05
                     21,                  1.104,                 4.2219,                 1.4563,                      0,                      0,                      0,                      0,                 2.0494,                 5.4792,                 1.8499,             1.9088e-05,             1.9088e-05,             1.9088e-05
                     22,                 1.0492,                  4.322,                 1.3124,                      0,                      0,                      0,                      0,                 2.0494,                 5.4792,                 1.8499,             1.9795e-05,             1.9795e-05,             1.9795e-05
                     23,                 1.1044,                 4.4585,                 1.1908,                      0,                      0,                      0,                      0,                 2.0652,                 5.4837,                  1.865,             2.0478e-05,             2.0478e-05,             2.0478e-05
                     24,                0.73689,                 4.2316,                 1.1081,                      0,                      0,                      0,                      0,                 2.0652,                 5.4837,                  1.865,             2.1138e-05,             2.1138e-05,             2.1138e-05
                     25,                 1.1353,                 4.4162,                 1.2358,                      0,                      0,                      0,                      0,                  2.052,                 5.4909,                 1.8607,             2.1774e-05,             2.1774e-05,             2.1774e-05
                     26,                 1.1171,                 4.5174,                 1.2939,                      0,                      0,                      0,                      0,                  2.052,                 5.4909,                 1.8607,             2.2387e-05,             2.2387e-05,             2.2387e-05
                     27,                0.78941,                 4.2008,                 1.1364,                      0,                      0,                      0,                      0,                 2.0284,                 5.4936,                 1.8483,             2.2976e-05,             2.2976e-05,             2.2976e-05
                     28,                0.92812,                 3.9879,                 1.1546,                      0,                      0,                      0,                      0,                 2.0284,                 5.4936,                 1.8483,             2.3542e-05,             2.3542e-05,             2.3542e-05
                     29,                0.89723,                 4.0543,                 1.2118,                      0,                      0,                      0,                      0,                 2.0518,                 5.4913,                 1.8621,             2.4084e-05,             2.4084e-05,             2.4084e-05
                     30,                 0.8616,                 4.1003,                 1.2446,                      0,                      0,                      0,                      0,                 2.0518,                 5.4913,                 1.8621,             2.4602e-05,             2.4602e-05,             2.4602e-05
                     31,                0.96165,                 4.1553,                 1.1925,                      0,                      0,                      0,                      0,                 2.0643,                  5.483,                 1.8772,             2.5097e-05,             2.5097e-05,             2.5097e-05
                     32,                0.93955,                 4.1553,                 1.1585,                      0,                      0,                      0,                      0,                 2.0643,                  5.483,                 1.8772,             2.5568e-05,             2.5568e-05,             2.5568e-05
                     33,                 1.0328,                 4.3148,                 1.2456,                      0,                      0,                      0,                      0,                 2.0477,                  5.471,                 1.8941,             2.6016e-05,             2.6016e-05,             2.6016e-05
                     34,                 1.1626,                 4.2548,                 1.2372,                      0,                      0,                      0,                      0,                 2.0477,                  5.471,                 1.8941,              2.644e-05,              2.644e-05,              2.644e-05
                     35,                0.86632,                 4.0384,                 1.1918,                      0,                      0,                      0,                      0,                 2.0221,                  5.453,                 1.9007,             2.6841e-05,             2.6841e-05,             2.6841e-05
                     36,                0.93118,                 3.9627,                 1.1769,                      0,                      0,                      0,                      0,                 2.0221,                  5.453,                 1.9007,             2.7218e-05,             2.7218e-05,             2.7218e-05
                     37,                 0.8052,                 3.9069,                 1.2383,                      0,                      0,                      0,                      0,                 2.0196,                  5.451,                 1.9055,             2.7572e-05,             2.7572e-05,             2.7572e-05
                     38,                0.76639,                 3.8933,                 1.0257,                      0,                      0,                      0,                      0,                 2.0196,                  5.451,                 1.9055,             2.7902e-05,             2.7902e-05,             2.7902e-05
                     39,                0.74672,                 3.7581,                 1.0044,                      0,                      0,                      0,                      0,                 2.0013,                 5.4482,                 1.8945,             2.8208e-05,             2.8208e-05,             2.8208e-05
                     40,                0.83428,                 3.8604,                 1.1909,                      0,                      0,                      0,                      0,                 2.0013,                 5.4482,                 1.8945,             2.8491e-05,             2.8491e-05,             2.8491e-05
                     41,                0.82165,                 3.8291,                 1.1216,                      0,                      0,                      0,                      0,                 1.9754,                 5.4404,                 1.8787,              2.875e-05,              2.875e-05,              2.875e-05
                     42,                0.77943,                 3.6719,                 1.1123,                      0,                      0,                      0,                      0,                 1.9754,                 5.4404,                 1.8787,             2.8986e-05,             2.8986e-05,             2.8986e-05
                     43,                0.87073,                 3.8779,                 1.2828,                      0,                      0,                      0,                      0,                      2,                 5.4491,                 1.8786,             2.9198e-05,             2.9198e-05,             2.9198e-05
                     44,                 1.0427,                 4.1221,                 1.3272,                      0,                      0,                      0,                      0,                      2,                 5.4491,                 1.8786,             2.9387e-05,             2.9387e-05,             2.9387e-05
                     45,                 0.8849,                 3.7034,                 1.1549,                      0,                      0,                      0,                      0,                 1.9757,                 5.4551,                 1.8756,             2.9552e-05,             2.9552e-05,             2.9552e-05
                     46,                0.96366,                 4.0164,                 1.3109,                      0,                      0,                      0,                      0,                 1.9757,                 5.4551,                 1.8756,             2.9693e-05,             2.9693e-05,             2.9693e-05
                     47,                0.85536,                 3.8519,                 1.1858,                      0,                      0,                      0,                      0,                 1.9866,                 5.4532,                 1.8701,             2.9811e-05,             2.9811e-05,             2.9811e-05
                     48,                 1.0216,                 3.8431,                 1.0704,                      0,                      0,                      0,                      0,                 1.9866,                 5.4532,                 1.8701,             2.9906e-05,             2.9906e-05,             2.9906e-05
                     49,                0.90535,                 3.7807,                 1.1714,                      0,                      0,                      0,                      0,                 1.9936,                 5.4782,                 1.8613,             2.9977e-05,             2.9977e-05,             2.9977e-05
                     50,                0.93985,                  3.843,                 1.1386,                      0,                      0,                      0,                      0,                 1.9936,                 5.4782,                 1.8613,             3.0024e-05,             3.0024e-05,             3.0024e-05
                     51,                 1.0228,                  3.977,                 1.1634,                      0,                      0,                      0,                      0,                   1.99,                 5.5135,                 1.8545,             3.0048e-05,             3.0048e-05,             3.0048e-05
                     52,                0.59145,                 3.5743,                 1.0862,                      0,                      0,                      0,                      0,                   1.99,                 5.5135,                 1.8545,             3.0048e-05,             3.0048e-05,             3.0048e-05
                     53,                0.71516,                 3.6341,                 1.1171,                      0,                      0,                      0,                      0,                   1.99,                 5.5135,                 1.8545,             3.0024e-05,             3.0024e-05,             3.0024e-05
                     54,                0.79779,                 3.6938,                 1.2004,                      0,                      0,                      0,                      0,                 2.0155,                 5.4975,                  1.863,             2.9977e-05,             2.9977e-05,             2.9977e-05
                     55,                0.99089,                 3.5999,                 1.2127,                      0,                      0,                      0,                      0,                 2.0155,                 5.4975,                  1.863,             2.9907e-05,             2.9907e-05,             2.9907e-05
                     56,                0.85524,                 3.3283,                 1.0835,                      0,                      0,                      0,                      0,                 2.0155,                 5.4975,                  1.863,             2.9812e-05,             2.9812e-05,             2.9812e-05
                     57,                 0.8706,                 3.7249,                 1.3048,                      0,                      0,                      0,                      0,                 2.0287,                 5.5035,                 1.8683,             2.9695e-05,             2.9695e-05,             2.9695e-05
                     58,                 0.7307,                 3.4769,                 1.0929,                      0,                      0,                      0,                      0,                 2.0287,                 5.5035,                 1.8683,             2.9554e-05,             2.9554e-05,             2.9554e-05
                     59,                 0.8223,                  3.226,                  1.107,                      0,                      0,                      0,                      0,                 2.0287,                 5.5035,                 1.8683,             2.9389e-05,             2.9389e-05,             2.9389e-05
                     60,                0.96641,                 3.6692,                 1.3309,                      0,                      0,                      0,                      0,                 2.0314,                 5.5137,                 1.8661,               2.92e-05,               2.92e-05,               2.92e-05
                     61,                 0.8023,                 3.4253,                 1.2828,                      0,                      0,                      0,                      0,                 2.0314,                 5.5137,                 1.8661,             2.8988e-05,             2.8988e-05,             2.8988e-05
                     62,                0.88561,                 3.3818,                 1.1679,                      0,                      0,                      0,                      0,                 2.0314,                 5.5137,                 1.8661,             2.8753e-05,             2.8753e-05,             2.8753e-05
                     63,                0.71148,                  3.386,                 1.1419,                      0,                      0,                      0,                      0,                 2.0371,                 5.5131,                 1.8767,             2.8494e-05,             2.8494e-05,             2.8494e-05
                     64,                 0.7877,                 3.3944,                 1.0495,                      0,                      0,                      0,                      0,                 2.0371,                 5.5131,                 1.8767,             2.8211e-05,             2.8211e-05,             2.8211e-05
                     65,                0.80349,                 3.4827,                 1.0612,                      0,                      0,                      0,                      0,                 2.0371,                 5.5131,                 1.8767,             2.7905e-05,             2.7905e-05,             2.7905e-05
                     66,                0.75363,                 3.3239,                 1.0947,                      0,                      0,                      0,                      0,                 2.0346,                 5.5174,                 1.8858,             2.7575e-05,             2.7575e-05,             2.7575e-05
                     67,                0.67362,                 3.1295,                 1.0521,                      0,                      0,                      0,                      0,                 2.0346,                 5.5174,                 1.8858,             2.7222e-05,             2.7222e-05,             2.7222e-05
                     68,                0.61732,                 3.1311,                0.99898,                      0,                      0,                      0,                      0,                 2.0346,                 5.5174,                 1.8858,             2.6845e-05,             2.6845e-05,             2.6845e-05
                     69,                0.74859,                 3.2737,                 1.0549,                      0,                      0,                      0,                      0,                 2.0307,                 5.5153,                 1.8831,             2.6445e-05,             2.6445e-05,             2.6445e-05
                     70,                0.65793,                 3.3803,                 1.1131,                      0,                      0,                      0,                      0,                 2.0307,                 5.5153,                 1.8831,             2.6021e-05,             2.6021e-05,             2.6021e-05
                     71,                0.77541,                 3.2495,                 1.1343,                      0,                      0,                      0,                      0,                 2.0307,                 5.5153,                 1.8831,             2.5573e-05,             2.5573e-05,             2.5573e-05
                     72,                0.64949,                  3.361,                 1.0831,                      0,                      0,                      0,                      0,                 2.0333,                 5.5087,                 1.8805,             2.5102e-05,             2.5102e-05,             2.5102e-05
                     73,                0.68268,                 3.1792,                0.99795,                      0,                      0,                      0,                      0,                 2.0333,                 5.5087,                 1.8805,             2.4607e-05,             2.4607e-05,             2.4607e-05
                     74,                0.69717,                 3.0776,                 1.1411,                      0,                      0,                      0,                      0,                 2.0333,                 5.5087,                 1.8805,             2.4089e-05,             2.4089e-05,             2.4089e-05
                     75,                0.75182,                 3.1292,                 1.0694,                      0,                      0,                      0,                      0,                  2.028,                 5.5038,                 1.8821,             2.3547e-05,             2.3547e-05,             2.3547e-05
                     76,                0.75151,                 3.2893,                  1.167,                      0,                      0,                      0,                      0,                  2.028,                 5.5038,                 1.8821,             2.2982e-05,             2.2982e-05,             2.2982e-05
                     77,                0.90105,                  3.537,                 1.0598,                      0,                      0,                      0,                      0,                  2.028,                 5.5038,                 1.8821,             2.2393e-05,             2.2393e-05,             2.2393e-05
                     78,                0.75254,                 3.4614,                 1.1189,                      0,                      0,                      0,                      0,                 2.0535,                 5.5077,                 1.9028,              2.178e-05,              2.178e-05,              2.178e-05
                     79,                0.71785,                 3.0821,                 1.0945,                      0,                      0,                      0,                      0,                 2.0535,                 5.5077,                 1.9028,             2.1144e-05,             2.1144e-05,             2.1144e-05
                     80,                0.86238,                 3.0629,                 1.0084,                      0,                      0,                      0,                      0,                 2.0535,                 5.5077,                 1.9028,             2.0485e-05,             2.0485e-05,             2.0485e-05
                     81,                0.93319,                 3.7868,                 1.0417,                      0,                      0,                      0,                      0,                 2.0701,                 5.5064,                 1.9151,             1.9802e-05,             1.9802e-05,             1.9802e-05
                     82,                0.75312,                 2.6951,                 1.0181,                      0,                      0,                      0,                      0,                 2.0701,                 5.5064,                 1.9151,             1.9095e-05,             1.9095e-05,             1.9095e-05
                     83,                0.70771,                  2.922,                 1.0393,                      0,                      0,                      0,                      0,                 2.0701,                 5.5064,                 1.9151,             1.8365e-05,             1.8365e-05,             1.8365e-05
                     84,                 0.8649,                 3.4731,                 1.1813,                      0,                      0,                      0,                      0,                 2.0856,                 5.5011,                  1.927,             1.7611e-05,             1.7611e-05,             1.7611e-05
                     85,                0.61092,                 3.0883,                0.99855,                      0,                      0,                      0,                      0,                 2.0856,                 5.5011,                  1.927,             1.6833e-05,             1.6833e-05,             1.6833e-05
                     86,                 1.0703,                 3.6296,                 1.1464,                      0,                      0,                      0,                      0,                 2.0856,                 5.5011,                  1.927,             1.6032e-05,             1.6032e-05,             1.6032e-05
                     87,                0.75628,                 3.2834,                 1.2315,                      0,                      0,                      0,                      0,                 2.0856,                 5.5011,                  1.927,             1.5208e-05,             1.5208e-05,             1.5208e-05
                     88,                0.67213,                 2.8909,                0.97214,                      0,                      0,                      0,                      0,                 2.1091,                 5.5045,                 1.9378,              1.436e-05,              1.436e-05,              1.436e-05
                     89,                0.68026,                 2.7766,                 1.0352,                      0,                      0,                      0,                      0,                 2.1091,                 5.5045,                 1.9378,             1.3488e-05,             1.3488e-05,             1.3488e-05
                     90,                 0.6555,                 2.8108,                 1.0224,                      0,                      0,                      0,                      0,                 2.1091,                 5.5045,                 1.9378,             1.2593e-05,             1.2593e-05,             1.2593e-05
                     91,                0.80363,                 2.9324,                 1.0272,                      0,                      0,                      0,                      0,                 2.1091,                 5.5045,                 1.9378,             1.1674e-05,             1.1674e-05,             1.1674e-05
                     92,                0.89078,                 3.0243,                 1.0759,                      0,                      0,                      0,                      0,                 2.1112,                 5.5065,                 1.9382,             1.0732e-05,             1.0732e-05,             1.0732e-05
                     93,                0.68647,                 3.0714,                0.99999,                      0,                      0,                      0,                      0,                 2.1112,                 5.5065,                 1.9382,             9.7656e-06,             9.7656e-06,             9.7656e-06
                     94,                0.62512,                 2.7954,                0.99513,                      0,                      0,                      0,                      0,                 2.1112,                 5.5065,                 1.9382,             8.7761e-06,             8.7761e-06,             8.7761e-06
                     95,                0.71855,                 2.9502,                  1.092,                      0,                      0,                      0,                      0,                 2.1112,                 5.5065,                 1.9382,             7.7631e-06,             7.7631e-06,             7.7631e-06
                     96,                0.67471,                 2.9933,                 1.0737,                      0,                      0,                      0,                      0,                 2.1212,                 5.4947,                  1.944,             6.7265e-06,             6.7265e-06,             6.7265e-06
                     97,                0.70575,                 2.8373,                 1.0973,                      0,                      0,                      0,                      0,                 2.1212,                 5.4947,                  1.944,             5.6663e-06,             5.6663e-06,             5.6663e-06
                     98,                0.72215,                 2.6852,                 1.0251,                      0,                      0,                      0,                      0,                 2.1212,                 5.4947,                  1.944,             4.5826e-06,             4.5826e-06,             4.5826e-06
                     99,                0.68727,                 2.8462,                 1.1226,                      0,                      0,                      0,                      0,                 2.1212,                 5.4947,                  1.944,             3.4753e-06,             3.4753e-06,             3.4753e-06
                    100,                0.71674,                 3.2062,                 1.1956,                      0,                      0,                      0,                      0,                 2.1228,                 5.5004,                 1.9422,             2.3444e-06,             2.3444e-06,             2.3444e-06
